"","price","year","mileage","engine","age"
"1",256000,2022,5,1998,1
"2",184999,2019,79400,1998,4
"3",74000,2014,240000,1995,9
"4",168600,2022,2,1499,1
"5",209999,2020,28000,2998,3
"6",87900,2015,183713,1995,8
"7",73900,2013,193000,2993,10
"8",17900,2006,199325,1995,17
"9",102900,2016,128000,1998,7
"10",140695,2022,2,1499,1
"11",509900,2021,10840,4395,2
"12",30900,2009,130232,1995,14
"13",66900,2013,280000,1995,10
"14",64900,2016,160000,1995,7
"15",239900,2021,6553,1998,2
"16",167300,2022,2,1499,1
"17",23700,2009,267400,1995,14
"18",329300,2022,1,1995,1
"19",388999,2018,55000,4395,5
"20",179900,2015,99900,2993,8
"21",159900,2019,25500,1998,4
"22",55350,2017,198000,1995,6
"23",609900,2022,5,NA,1
"24",230000,2019,36150,1998,4
"25",132000,2016,169000,1995,7
"26",95000,2014,132700,1995,9
"27",139900,2018,67850,1998,5
"28",69900,2013,209000,1997,10
"29",108900,2018,78000,1998,5
"30",104999,2015,140000,1995,8
"31",299997,2019,61000,2979,4
"32",185900,2017,99000,2993,6
"33",25000,1999,226672,2926,24
"34",28900,2007,317810,2993,16
"35",335000,2020,61000,2979,3
"36",150885,2022,2,1499,1
"37",676500,2021,5438,4395,2
"38",28500,2011,202000,1598,12
"39",727099,2022,1,4395,1
"40",147940,2022,2,1499,1
"41",543600,2021,8000,2993,2
"42",297000,2022,1,1998,1
"43",270000,2022,1,1995,1
"44",169900,2015,159000,2993,8
"45",169500,2018,125000,1998,5
"46",145660,2022,2,1499,1
"47",293100,2022,1,1995,1
"48",283100,2022,1,1998,1
"49",159250,2023,1,1499,0
"50",239300,2022,1,1995,1
"51",243600,2022,1,1995,1
"52",161240,2022,2,1499,1
"53",183100,2022,1,1495,1
"54",477700,2023,1,2993,0
"55",239850,2020,41500,1998,3
"56",149990,2017,90600,1995,6
"57",430500,2022,1,2993,1
"58",43500,1987,134970,1795,36
"59",107800,2019,135000,1995,4
"60",243300,2023,1,1995,0
"61",249000,2022,1,1995,1
"62",159900,2016,162211,1995,7
"63",176200,2022,5000,1499,1
"64",177000,2022,1,1499,1
"65",75000,2009,259250,2993,14
"66",86900,2016,72185,1997,7
"67",196700,2022,1,1499,1
"68",69000,2012,396197,2993,11
"69",176900,2019,72000,1998,4
"70",129900,2017,189000,1995,6
"71",119000,2014,235000,2993,9
"72",173685,2022,2,1499,1
"73",119000,2014,235000,2993,9
"74",449000,2021,25000,2993,2
"75",179990,2007,75477,3999,16
"76",122900,2018,136301,1995,5
"77",759000,2022,1,4395,1
"78",47800,2009,277840,2993,14
"79",18800,2008,173000,1599,15
"80",123000,2016,191000,1995,7
"81",30400,2008,264000,2993,15
"82",122900,2018,134157,1995,5
"83",22900,2008,158537,1599,15
"84",169700,2018,115000,2993,5
"85",71000,2014,118000,1598,9
"86",28500,2010,205000,1995,13
"87",28900,2004,300187,2993,19
"88",124999,2017,142000,1995,6
"89",86900,2016,130000,1995,7
"90",253900,2022,5,1998,1
"91",169740,2018,86000,2998,5
"92",75000,1988,173200,2494,35
"93",41500,2007,161000,2979,16
"94",169900,2019,68800,1998,4
"95",27400,2001,262370,2793,22
"96",19800,2008,218000,1995,15
"97",164900,2020,56000,1995,3
"98",285000,2022,7482,1995,1
"99",149900,2019,87387,1995,4
"100",97000,2012,271480,2993,11
"101",99900,2018,91300,1499,5
"102",19000,2009,215559,1599,14
"103",522700,2022,15,2993,1
"104",269900,2020,53922,2979,3
"105",26900,2005,171056,1596,18
"106",312700,2019,84000,2993,4
"107",72900,2017,105000,1499,6
"108",145900,2018,89994,1995,5
"109",72900,2017,105000,1499,6
"110",28600,2010,303200,1995,13
"111",363500,2022,5,1995,1
"112",146900,2019,85875,1995,4
"113",198500,2022,4000,1499,1
"114",131979,2016,120000,1998,7
"115",86100,2013,170000,4395,10
"116",77500,2013,220000,2993,10
"117",226900,2021,18232,1998,2
"118",157900,2019,103788,1995,4
"119",209900,2021,26800,1995,2
"120",147000,2017,139000,1995,6
"121",131900,2020,36000,1998,3
"122",120000,2017,68000,1998,6
"123",25900,2009,258000,1995,14
"124",163900,2019,42779,1998,4
"125",41900,2012,180000,1995,11
"126",129900,2018,90756,1499,5
"127",265700,2022,5000,1998,1
"128",44500,2012,215000,1995,11
"129",108000,2016,123000,1998,7
"130",149999,2017,206520,2993,6
"131",94900,2015,120645,1995,8
"132",36500,2011,255100,1995,12
"133",12900,2005,251800,1995,18
"134",195000,2019,49907,1995,4
"135",457000,2022,15,2993,1
"136",83900,2011,284000,2993,12
"137",114000,2013,173247,2993,10
"138",543700,2022,1,2993,1
