price,mileage,engine,age
3.90625e-06,5,1998.0,1
5.40543462397094e-06,79400,1998.0,4
1.3513513513513513e-05,240000,1995.0,9
5.931198102016607e-06,2,1499.0,1
4.761927437749703e-06,28000,2998.0,3
1.1376564277588169e-05,183713,1995.0,8
1.3531799729364005e-05,193000,2993.0,10
5.58659217877095e-05,199325,1995.0,17
9.718172983479106e-06,128000,1998.0,7
7.107573119158464e-06,2,1499.0,1
1.9611688566385566e-06,10840,4395.0,2
3.2362459546925564e-05,130232,1995.0,14
1.4947683109118087e-05,280000,1995.0,10
1.5408320493066255e-05,160000,1995.0,7
4.168403501458942e-06,6553,1998.0,2
5.977286312014345e-06,2,1499.0,1
4.219409282700422e-05,267400,1995.0,14
3.036744609778318e-06,1,1995.0,1
2.5707006958886785e-06,55000,4395.0,5
5.558643690939411e-06,99900,2993.0,8
6.253908692933083e-06,25500,1998.0,4
1.8066847335140017e-05,198000,1995.0,6
1.6396130513198885e-06,5,2355.103550295858,1
4.347826086956521e-06,36150,1998.0,4
7.575757575757576e-06,169000,1995.0,7
1.0526315789473684e-05,132700,1995.0,9
7.1479628305932806e-06,67850,1998.0,5
1.4306151645207439e-05,209000,1997.0,10
9.182736455463728e-06,78000,1998.0,5
9.523900227621216e-06,140000,1995.0,8
3.3333666670000034e-06,61000,2979.0,4
5.379236148466918e-06,99000,2993.0,6
4e-05,226672,2926.0,24
3.460207612456748e-05,317810,2993.0,16
2.9850746268656716e-06,61000,2979.0,3
6.627564038837525e-06,2,1499.0,1
1.4781966001478196e-06,5438,4395.0,2
3.508771929824561e-05,202000,1598.0,12
1.3753285316029867e-06,1,4395.0,1
6.7594970934162495e-06,2,1499.0,1
1.839587932303164e-06,8000,2993.0,2
3.367003367003367e-06,1,1998.0,1
3.7037037037037037e-06,1,1995.0,1
5.885815185403178e-06,159000,2993.0,8
5.899705014749263e-06,125000,1998.0,5
6.865302759851709e-06,2,1499.0,1
3.4118048447628797e-06,1,1995.0,1
3.5323207347227127e-06,1,1998.0,1
6.279434850863423e-06,1,1499.0,0
4.1788549937317175e-06,1,1995.0,1
4.105090311986864e-06,1,1995.0,1
6.201935003721161e-06,2,1499.0,1
5.461496450027307e-06,1,1495.0,1
2.0933640360058616e-06,1,2993.0,0
4.169272461955389e-06,41500,1998.0,3
6.667111140742716e-06,90600,1995.0,6
2.3228803716608596e-06,1,2993.0,1
2.2988505747126437e-05,134970,1795.0,36
9.276437847866419e-06,135000,1995.0,4
4.110152075626798e-06,1,1995.0,0
4.016064257028113e-06,1,1995.0,1
6.253908692933083e-06,162211,1995.0,7
5.6753688989784335e-06,5000,1499.0,1
5.649717514124294e-06,1,1499.0,1
1.3333333333333333e-05,259250,2993.0,14
1.1507479861910241e-05,72185,1997.0,7
5.083884087442806e-06,1,1499.0,1
1.4492753623188405e-05,396197,2993.0,11
5.652911249293386e-06,72000,1998.0,4
7.698229407236336e-06,189000,1995.0,6
8.403361344537815e-06,235000,2993.0,9
